Nr,1,2,3,4,5
Kod stacji,DsOsieczow21,KpZielBoryTu,MzGranicaKPN,SlZlotPotLes,WmPuszczaBor
Wskaźnik,Hg(TGM),Hg(TGM),Hg(TGM),Hg(TGM),Hg(TGM)
Czas uśredniania,1g,1g,1g,1g,1g
Jednostka,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3
Kod stanowiska,DsOsieczow21-Hg(TGM)-1g,KpZielBoryTu-Hg(TGM)-1g,MzGranicaKPN-Hg(TGM)-1g,SlZlotPotLes-Hg(TGM)-1g,WmPuszczaBor-Hg(TGM)-1g
01/03/23 09:00,1.4576899999999999,1.47,2.21,1.5508,1.3779699999999999
01/03/23 10:00,1.52504,1.33,2.25,1.5783,1.29132
01/03/23 11:00,1.46102,1.36,2.12,1.3931800000000001,1.2996700000000001
01/04/23 12:00,1.55593,1.32,2.2200000000000002,1.54586,1.48559
01/04/23 01:00,1.42231,1.29,2.15,1.5723100000000001,1.4098200000000001
01/04/23 02:00,1.4837100000000001,1.27,2.5099999999999998,1.59798,1.3401700000000001
01/04/23 03:00,1.35745,1.19,3.05,1.5472900000000001,1.2599199999999999
01/04/23 04:00,1.4778100000000001,1.1399999999999999,3.36,1.45312,1.1630499999999999
01/04/23 05:00,1.36656,1.26,3.39,2.0665499999999999,1.228
01/04/23 06:00,1.37086,1.25,3.43,2.1074000000000002,1.1917
01/04/23 07:00,1.3097300000000001,1.3,3.23,1.88364,1.22698
01/04/23 08:00,1.53928,1.33,3.13,1.5347299999999999,1.3306800000000001
01/04/23 09:00,1.6349499999999999,1.35,3.14,1.7657099999999999,1.18791
01/04/23 10:00,1.53498,1.38,2.75,1.94611,1.28833
01/04/23 11:00,1.5293000000000001,1.48,2.48,1.8614299999999999,1.2058199999999999
01/04/23 12:00,1.55905,1.58,2.57,1.7887200000000001,1.33491
01/04/23 01:00,1.56474,1.53,2.5499999999999998,1.70061,1.2940499999999999
01/04/23 02:00,1.63971,1.62,2.4700000000000002,1.67387,1.35686
01/04/23 03:00,1.4752000000000001,1.53,2.41,1.5942799999999999,1.3922399999999999
01/04/23 04:00,1.5477099999999999,1.51,2.5499999999999998,1.59578,1.4466399999999999
01/04/23 05:00,1.54783,1.51,2.37,1.63619,1.4738599999999999
01/04/23 06:00,1.6301300000000001,1.47,2.15,1.6518600000000001,1.4623699999999999
01/04/23 07:00,1.7819400000000001,1.38,1.78,1.67655,1.4677800000000001
01/04/23 08:00,1.78891,1.45,1.45,1.8045800000000001,1.6515
01/04/23 09:00,1.8600099999999999,1.35,1.32,1.67639,1.5381800000000001
01/04/23 10:00,1.84718,1.35,1.27,1.4557500000000001,1.5155000000000001
